Familia,nombre_cientifico,nombre_comun,nombre_ingles,categoria_IUCN,categoria_MMA,status
Oceanitidae,Nesofregetta fuliginosa,Golondrina de mar polinésica,Polynesian Storm-Petrel,EN,EN,X
Anatidae,Netta peposaca,Pato negro,Rosy-billed Pochard,LC,,X
Tinamidae,Nothoprocta ornata,Perdiz cordillerana,Ornate Tinamou,LC,,X
Tinamidae,Nothoprocta pentlandii,Perdiz andina,Andean Tinamou,LC,,X
Tinamidae,Nothoprocta perdicaria,Perdiz chilena,Chilean Tinamou,LC,,X(e)
Scolopacidae,Numenius borealis,Zarapito boreal,Eskimo Curlew,CR,CR,EX
Scolopacidae,Numenius phaeopus,Zarapito común,Whimbrel,LC,LC,NR
Scolopacidae,Numenius tahitiensis,Zarapito polinésico,Bristle-thighed Curlew,NT,,E
Ardeidae,Nyctanassa violacea,Huairavo de corona amarilla,Yellow-crowned Night-Heron,LC,,E
Nyctibiidae,Nyctibius griseus,Urutaú,Common Potoo,LC,,E
Ardeidae,Nycticorax nycticorax,Huairavo común,Black-crowned Night-Heron,LC,,X
Rostratulidae,Nycticryphes semicollaris,Becacina pintada,South American Painted-Snipe,LC,EN,X
